QUAD,SP,XCO,YCO
12,EUGESU,28.4,57.4
12,GREWMI,31.2,57.4
12,IXONIC,31.9,56.5
12,ANI1LA,33,55.6
12,MESUGR,36,56.7
12,KNEMLA,37.6,58.7
12,BACCPY,38.7,56.7
12,SANDKO,34.3,49.2
12,DACRR1,36.2,57
12,SCA1SP,35.2,48.2
12,MEL1AU,35.2,47
12,MACALO,35.5,46.4
12,CROTLA,36.6,47.2
12,BEILKU,34.7,45.9
12,RYPAAC,32,46.7
12,ALANRI,31.6,49.8
12,CANALR,30.9,43.5
12,EUGEO1,30.8,40.4
12,DIOSBU,20.4,44.2
12,AAAAAA,0,0
12,MILLAT,0,0
12,SHORM1,38.1,41.1
13,DACRR1,42.4,42.7
13,DIOSBU,44.4,40.1
13,CANTDI,46.7,41.5
13,LITHCU,47.7,43.4
13,XANTAM,47.7,45.1
13,DIPTC1,48.4,45.1
13,MACALO,52.7,44.2
13,MACALO,53.1,45.7
13,POL1OB,54.3,44.5
13,SYMPC2,47.7,48.3
13,BUCHSE,50.1,48.6
13,KOILLO,49.3,51.3
13,PTYCCO,52.3,51.7
13,CROTLA,0,0
13,XANTEU,46.4,54.9
13,ARCHBU,44.5,54.2
13,CROTLA,42.4,53.2
13,AIDIWA,42,51.5
13,TRI3LA,41.3,55.1
13,SANTAP,42,59.4
13,TRI3LA,40.2,59
13,PTYCCO,45.4,59.7
13,SHORAC,44.8,58.3
13,MESUFE,57.3,57.3
13,SHORL1,54.1,56.3
13,DACRR1,53.8,58.4
13,POMEPA,58,40.3
13,LEPISE,58.3,46.3
13,DIOSAP,57.3,41.7
13,KOOMMA,56.8,41.8
14,DIPLMA,60.4,50.4
14,MACALO,78.3,49.7
14,QUERAR,64.9,43.1
14,CALOMA,0,0
14,LITHCU,61.7,53
14,AAAAAA,62.4,48.3
14,SAPIBA,62.6,50.2
14,EUGERI,63,53.1
14,DIPTC1,65.8,52.5
14,VATIBE,66.7,52.1
14,DIOSSI,67.7,51.1
14,PAR1OB,64.5,54.5
14,GIRONE,66.1,55.1
14,ARCHBU,69.9,50.1
14,SANDKO,72.7,48.2
14,LITHCU,69.2,48
14,GYNOAX,66.5,47.5
14,BEILDI,67.2,50
14,MYRIM3,66,59.5
14,GLUTM2,73.4,52.3
14,RYPAKU,72.6,50.5
14,PIMEGR,72.5,52
14,SHORM2,71.4,52.2
14,ORMOPE,75.5,48.4
14,NEOBHE,0,0
14,CANAPA,71.6,54.9
14,NAUCOF,75.9,47.3
14,DIPLMA,77.6,55.3
14,PAROVA,78.8,57.8
14,QUERAR,79.5,53
14,SHORM2,79,47.4
14,KNEMSC,79.1,45.2
14,MANGQU,76.7,44.2
14,PORTAN,75.8,44.5
14,NOTHUM,72.5,45
14,STYRBE,75.2,40.5
14,POL1HY,72.6,40.5
14,TRI2MA,78.1,42.9
14,SHORP1,80,42
15,HOPEME,88.5,41.4
15,SHORM2,85.8,42.7
15,VATIBE,85.8,45
15,MESUFE,85,45.7
15,MACATR,81.2,45.6
15,SHORM2,86.6,45.2
15,AAAAAA,0,0
15,KNEMMA,89.5,48.5
15,INTSPA,88.1,51.2
15,ARTOIS,86.6,49
15,PIMELO,90.8,49.2
15,DIOSBU,91.5,51.1
15,MANGQU,90.2,48
15,MONOMA,97,52
15,QUERAR,86.2,54.2
15,MANGQU,85.8,59.6
15,GARCMA,84.4,59.2
15,EUGEFL,87.1,58.7
15,TEIJCO,89.9,59.5
15,HOPEME,93.1,53.3
15,HORSPO,95.2,53.9
15,HORSPO,97.8,52.6
15,AGLASP,97.2,51.2
15,MYRIM1,99.1,54.5
15,XANTST,96.3,59.5
15,NEOSKI,94.8,57
15,RYPAKU,90.2,48
15,SANTAP,96.6,45.9
15,TEIJCO,99.4,41.8
15,LITHRA,97.8,44
15,SHORP1,97.2,44.2
15,VATIOD,97,44.6
15,ALPHEL,95.2,45.8
15,KNEMMA,90.3,48
15,SHORM2,93,44.4
15,TEIJCO,91.5,42.3
16,EUGESP,84.1,61.9
16,DIPTC1,85.1,61.6
16,MEMEO1,81,62
16,GYNOMA,0,0
16,GARCMA,0,0
16,PELLSA,80.5,60.5
16,XANTEU,90.4,70.2
16,MONOMA,95.6,60.2
16,SANTLA,93.3,60.2
16,PORTAN,90.3,64.5
16,XANTEU,84.8,69.7
16,MESUFE,80.9,71.3
16,DIPTC1,80.1,71.9
16,MESURA,81.3,73.5
16,MEL1FU,86.5,72.2
16,OCHAAM,85.1,71.7
16,KNEMST,87.8,78.9
16,SANTTO,87.9,79.4
16,DACRLA,87.7,76.7
16,SCA2MA,89,76.4
16,CYNOMA,89.9,75.6
16,ELAENI,91.8,68.4
16,DRYPKI,90.5,72
16,CASTSC,90.3,67.1
16,BACCSU,96.2,73.1
16,SHOROV,95.8,74.6
16,ARTOIS,94.6,76.5
16,PTEREC,92.7,76
16,ARCHBU,93.6,68.3
16,SHORAC,93.3,70.3
16,HERIEL,98.5,65.2
16,PAR2DE,100,61.7
16,MANGQU,98.8,60.9
16,HORSS2,97.9,60.8
16,ARTOIS,94.5,60
17,XANTEU,75.2,77.6
17,CALODI,60.3,60.3
17,CYATRA,69.5,60.7
17,BARRPE,69,65.5
17,NEOSKI,64.6,64.8
17,DACRLA,64.3,65.2
17,SHORAC,62.5,63.2
17,NEOUFO,61.8,67
17,MONOMA,63.3,68.9
17,DIOSMA,64.1,69.1
17,SINDWA,62.9,72
17,MILLAT,67.5,71.9
17,MESURA,60,72.3
17,PORTAN,60.2,75.3
17,AGLAGL,62.4,74.6
17,SHORM1,62.8,77
17,MILLAT,62.2,78.4
17,CANTDI,63.8,78.1
17,HOPEME,70.5,70.5
17,KNEMLA,70.6,70.2
17,ALANRI,70.2,77.1
17,PTYCCO,73.7,77.1
17,ELAERU,75.8,77.3
17,CANTDI,78.7,77.1
17,MANGG2,76.2,71.4
17,XANTEU,78.5,70.1
17,GANUSN,79,70.4
17,EUGEPU,71.8,68.2
17,NEPHCO,72.5,67
17,SHORM1,74.3,66.9
17,CYATRA,71.8,64.5
17,BACCRE,71.3,62.3
17,PORTAN,74.6,61.1
17,AAAAAA,0,0
17,DRYPLO,72.7,60.2
18,VATIBE,49.3,62.9
18,EUGEC1,51.9,63.8
18,MONOMA,0,0
18,XANTRU,45.9,63.6
18,MACALO,45,62.3
18,EUGEO1,45.8,64.9
18,SHORM2,46.2,66.2
18,BEILM2,46.9,65.6
18,DACRRO,48,64
18,MESURA,42.1,71.7
18,CANTDI,41.4,71.6
18,NEPHER,0,0
18,CANTDI,42.4,70.4
18,BARRPE,43.1,75.9
18,SHORL2,41.5,78.2
18,DIOSBU,54,72.2
18,POL1RU,51.8,73
18,MONOMA,54,71.4
18,GIROPA,48.4,71.7
18,ALPHMA,56.1,72.7
18,SHORM2,57.3,73
18,CANALT,56.4,71.4
18,ANTICO,57.8,73.4
18,GIRONE,53.2,77.8
18,GARCEU,48.3,77.5
18,CYATRA,47.7,77.4
18,ARTOLO,55.1,76.2
18,PAYELU,54,76
18,PAROVA,53.2,76.2
18,PIMEGR,58.2,79.4
18,PAROVA,58.5,68.4
18,HOPEME,58.2,68.1
18,DIOSAP,56.2,68.8
18,SHORL2,0,0
18,EUGEPU,59.5,62.2
19,VATIBE,26.2,61
19,POL1SC,0,0
19,MEL1AN,23.5,62.6
19,HOPEME,29.9,66.6
19,CHISTO,28.3,68
19,XANTEU,29.7,71.5
19,CROTAR,28,71.5
19,XANTEU,25,73.7
19,SHORP2,23.6,75.1
19,LITHEW,20.4,78.5
19,XERONO,25.6,78.7
19,EUGEP4,24.2,77.6
19,ARTOKE,26.2,75.4
19,CROTAR,26.9,79.1
19,XANTGR,30.8,78.4
19,CRY1GR,32.8,75.9
19,PTYCCO,33.1,75.4
19,DRYPLO,33.6,75.1
19,POL1JE,33.1,74
19,NEPHMA,35.2,76
19,DIPTC1,35.8,78.1
19,SHORM1,35,79.6
19,LITHEW,33.2,79.4
19,CANTDI,37.9,74.8
19,GANUSN,39.3,74.4
19,LITHEW,39.3,69.4
19,SHORBR,34.1,69.5
19,PORTAN,35,69.4
19,SHORAC,36.2,72
19,DIPTC1,37.4,66.2
19,XERONO,36.4,67.2
19,SHORM1,38.8,67.4
19,MESUFE,38.7,64.5
19,BUCHSE,36.1,61.4
19,NEOBHE,37,62.4
19,GIRONE,34.4,70.1
19,SHORP2,33.5,60.6
20,MANGQU,4.5,62.7
20,MACACO,1.2,64
20,EUGEC1,7.3,61.9
20,MESURA,10,63
20,POPOTC,9.8,64
20,EUGEC4,8.8,66.7
20,MANGQU,7.3,68.9
20,ANTICO,3.3,71.8
20,BACCRA,2.4,68.1
20,LANSDO,5.4,76.8
20,PORTAN,8.4,75.4
20,ARTOSC,8.6,77.3
20,SHORM2,10.1,71
20,BLUMTO,6.8,67.2
20,MACACO,6.1,69.2
20,DIPTKU,10.5,67.1
20,BUCHSE,10.7,76.2
20,DACRR1,13.4,78.3
20,HORSFL,15.5,77.3
20,EUGEC1,15.5,75.3
20,SHORP2,17.6,74.4
20,LANSDO,17.4,73.7
20,SINDWA,13.1,72.9
20,MESURA,13.5,73
20,AAAAAA,0,0
20,LITHCU,10.9,73.9
20,ONCOMO,12.8,63.9
20,NEOSKI,19.2,64
20,DACRCO,19.6,64.6
20,SANTLA,11.2,64.2
20,SCA1SP,18.8,65.2
20,KNEMKU,18.2,61
20,SCA2LI,19.2,60.9
20,NAUCOF,16.1,61.2
20,ALANRI,13.6,60.9
20,MESURA,13.2,61.5
20,MADHCU,14,62.4
21,KNEMSC,2.3,82.3
