SP,XCO,YCO
EUGEC1,80.3,86
DIPTC1,85.3,88.2
DRYPLO,80.7,91.6
ELLATA,80.4,93.4
SHORM1,81.1,94.9
SHORM1,82.7,95.2
EUGEC1,83.4,96.1
DIPTC1,85,97.6
SHORP2,85.5,98.1
GIRONE,86.8,95.3
NEPHCO,90.4,97.5
DIPTC1,90.5,95.1
CANALR,93.1,95.1
DYERCO,93.5,95.4
INTSPA,91.4,93.7
EUGESP,91.8,93.7
SHORM1,92,93.3
SCA1SP,95.5,96.4
DIPTC1,97.6,94.5
ALANEB,97,94.2
DIOSBU,97.3,95.5
XERONO,99.8,93
ARCHBU,96.4,94.1
SCA2MA,97.7,98.9
BACCRA,96.8,90.7
CANTDI,96.8,87
MONOMA,98.4,86.7
QUERAR,99.6,82.3
ELAEFE,0,0
ELATTA,80,100
PORTAN,80.9,101.3
HOPEDR,83.6,104.4
DIPTC1,88.8,105.1
ARCHBU,89,106
MEMEMI,88.6,108.1
MEMEMI,88.3,109.5
MEZZLE,89.2,108.8
PTYCCO,89.4,108.7
SHORAC,83.7,111.6
DIPLMA,81.3,107.7
SANTTO,89.9,114.6
ONCOMO,90.4,112.5
GIRONE,81.7,118.6
LANSDO,85.1,119.5
ALANEB,84.5,118
PIMEGR,0,0
GREWLA,0,0
KOILLO,89.7,118.1
OCHAAM,91.1,118.5
XERONO,92.9,117.8
CHRYLA,97.4,119.4
ELAERU,98.4,119.9
BUCHSE,99.3,117.5
DRYPPE,98.9,116.9
DILLSU,99.3,115.4
ARTOFU,98.3,112.8
APORPR,95.7,111.9
MONOMA,94.4,111.8
DIPTC1,95.5,111.5
BACCPA,92.3,112.2
MEMEO2,92.4,110.2
RYPAKU,100,107.3
POL1GL,95.9,108.8
KOILLO,98.9,100.3
MONOMA,96.6,102.3
MEMEAM,98.2,101.2
SHORL2,93,101
APORAU,92.3,103.5
CROTLA,60.6,102.5
CALOTE,60.8,100.3
ALANRI,64.2,104.1
DACRR1,62.2,101.8
SHORM2,68.3,104.2
EUGEPU,69.1,108
BUCHSE,70.6,107.6
OCHAAM,79.2,109.4
SINDWA,66.4,107.5
BACCPY,67,107.3
DIOSRU,70.4,109
ACROPO,70.8,110.3
NEPHER,69,112.4
CALOTE,71.3,112.9
BACCRE,67.1,112.9
LEPISE,71.6,115.2
SYMPAD,72,114.5
XYLOM2,63.7,114.9
KIBAAR,63,113.8
SHORM2,61.2,109.2
NEOBHE,63.8,117.4
SHORM2,63.3,120
BUCHSE,60.5,119.2
LITHCU,66.7,119.9
SAR1GR,67.1,117.4
SCA2MA,68.1,117.2
APORNI,74,115.5
ALPHMA,73.9,119.5
DACRR1,0,0
MEMEMI,74.5,118.2
KNEMLA,72.1,118.4
XERONO,74.7,113.5
ANI1LA,78.8,110.3
KNEMPA,79.2,119.2
HOPEME,78.6,118
DACRR1,78.8,119.6
PTEREC,78.8,110.1
CALOWA,74.1,109.1
PORTAN,78.2,105.2
PIMEGR,75.5,101.7
SHORM1,76.6,102.8
HOPEME,76,103.5
PEN2ST,74.8,104.8
GIROPA,77,100.8
PEN1MO,72.2,100
MONOMA,42.8,103.9
